Companies;Date;Revenue;Net Income;Assets;non-current assets;Liabilities;Equity;Shares outstanding;Debt-to-Equity;Current Ratio;Earnings per Share;Return On Capital Employed;Net Margin Profit;Inventory Turnover Ratio
ACES;01/01/2023;1702;160;5530;2018;1454;6094;17;0.01;8.65;9.23;3.02;9.39;0.32
ACES;01/04/2023;1933;144;5742;2058;2095;5705;17;0.11;4.84;8.40;2.71;7.44;0.69
ACES;01/07/2023;1859;182;5384;2045;1541;5887;17;0.01;9.55;10.69;3.48;9.77;1.05
ACES;01/10/2023;2118;277;5662;2091;1567;6186;17;0.01;7.42;16.19;5.46;13.09;1.46
ASII;01/01/2008;21780;2249;29690;37938;33166;34462;4;0.68;1.29;684.48;14.01;9.91;0.00
ASII;01/04/2008;24487;2505;35198;38929;39145;34982;4;0.72;1.25;761.54;7.67;10.23;6.95
ASII;01/07/2008;27498;2617;36521;41267;39687;38101;4;0.65;1.28;790.69;7.03;9.50;9.19
ASII;01/10/2008;23299;1820;35531;45209;40163;40577;4;0.71;1.32;554.05;3.70;7.80;9.70
ASII;01/01/2009;21537;1875;34630;45881;37564;42947;4;0.61;1.39;580.98;4.79;8.70;2.11
ASII;01/04/2009;23224;2368;35654;47571;39972;43253;4;0.60;1.29;750.18;5.87;10.21;4.91
ASII;01/07/2009;25886;2861;36274;49295;38732;46837;4;0.58;1.40;875.66;6.27;11.04;7.95
ASII;01/10/2009;27879;2936;36595;52343;40006;48932;4;0.55;1.37;867.02;5.34;10.54;10.84
ASII;01/01/2010;29688;3014;40064;55707;43255;52516;4;0.54;1.38;884.56;5.04;10.14;3.45
ASII;01/04/2010;32251;3425;45510;59035;52061;52484;4;0.61;1.21;999.42;5.12;10.62;7.08
ASII;01/07/2010;33095;3923;44341;63606;50645;57302;4;0.60;1.26;1148.37;5.39;11.86;9.40
ASII;01/10/2010;34957;4004;46843;66014;54168;58689;4;0.64;1.26;1167.88;5.79;11.47;10.61
ASII;01/01/2011;38693;5070;54067;69217;59476;63808;4;0.62;1.36;1062.90;5.45;13.09;3.02
ASII;01/04/2011;37571;5014;59994;76161;69122;67033;4;0.74;1.42;1058.45;4.62;13.34;6.57
ASII;01/07/2011;43266;5838;67145;82697;79161;70681;4;0.78;1.32;1198.76;5.05;13.50;9.75
ASII;01/10/2011;43034;5155;65978;87543;77683;75838;4;0.74;1.36;1073.03;4.43;11.97;11.48
ASII;01/01/2012;46353;5464;72453;90108;81759;80802;4;0.72;1.50;1147.87;4.25;11.63;3.16
ASII;01/04/2012;49566;5905;75091;96390;90752;80729;40;0.83;1.40;124.27;4.60;12.40;6.11
ASII;01/07/2012;47219;5829;77922;100569;94843;83648;40;0.82;1.36;123.33;4.40;12.34;8.33
ASII;01/10/2012;44915;5544;75799;106475;92460;89814;40;0.80;1.40;117.33;3.71;12.35;10.28
ASII;01/01/2013;46678;4946;77925;109742;93897;93770;40;0.72;1.35;106.46;2.98;10.59;2.56
ASII;01/04/2013;47601;5183;83352;113807;101622;95537;40;0.80;1.28;111.38;3.09;9.40;5.25
ASII;01/07/2013;47561;5257;88343;120176;109969;98550;40;0.79;1.20;114.74;3.42;11.07;7.74
ASII;01/10/2013;52040;6911;88352;125642;107806;106188;40;0.77;1.24;147.05;4.42;11.22;10.66
ASII;01/01/2014;49821;5710;92534;129853;109286;113101;40;0.70;1.25;116.76;3.35;13.30;2.60
ASII;01/04/2014;51707;6111;96020;131109;114336;112793;40;0.72;1.22;125.68;3.40;11.45;4.65
ASII;01/07/2014;49054;5647;100012;136389;120930;115471;40;0.74;1.22;115.53;3.13;11.83;6.45
ASII;01/10/2014;51119;4657;97241;138788;115705;120324;40;0.73;1.32;115.82;3.48;11.52;9.03
ASII;01/01/2015;45187;4808;103360;140781;117942;126199;40;0.68;1.41;98.61;2.23;9.13;2.08
ASII;01/04/2015;47318;4950;98223;144530;119122;123631;40;0.71;1.35;100.29;2.58;10.59;4.25
ASII;01/07/2015;45672;4853;106252;149507;129149;126610;40;0.72;1.30;97.45;2.69;10.67;6.38
ASII;01/10/2015;46019;1002;105161;140274;118902;126533;40;0.69;1.38;60.94;2.61;10.69;8.16
ASII;01/01/2016;41887;3639;105973;138708;114991;129690;40;0.63;1.37;76.87;2.01;2.17;1.92
ASII;01/04/2016;46321;4671;106987;142567;119557;129997;40;0.68;1.34;98.90;2.42;8.72;4.40
ASII;01/07/2016;44086;4921;106134;143843;118174;131803;40;0.60;1.36;102.78;2.51;10.08;6.79
ASII;01/10/2016;48790;5071;110403;151452;121949;139906;40;0.63;1.24;95.82;3.35;11.15;8.59
ASII;01/01/2017;48780;6072;119897;159910;133943;145864;40;0.66;1.27;125.43;2.83;10.39;2.04
ASII;01/04/2017;49251;5263;117688;168929;141101;145516;40;0.67;1.13;105.28;2.29;12.43;4.01
ASII;01/07/2017;52194;6053;119447;172026;142563;148910;40;0.63;1.10;119.04;3.05;11.08;6.11
ASII;01/10/2017;55832;5733;121528;174302;139325;156505;40;0.61;1.23;115.80;2.87;11.57;8.23
ASII;01/01/2018;55822;6334;128186;178158;143141;163203;40;0.62;1.35;123.01;2.94;10.25;2.30
ASII;01/04/2018;56732;6860;124947;184389;147456;161880;40;0.63;1.30;133.49;3.04;11.31;4.53
ASII;01/07/2018;62327;8323;142063;191262;165394;167931;40;0.62;1.23;165.23;3.59;11.64;6.18
ASII;01/10/2018;64324;5855;133609;211102;170348;174363;40;0.63;1.15;113.63;2.99;10.55;7.41
ASII;01/01/2019;59607;6665;141702;215414;176562;180554;40;0.65;1.22;128.82;2.95;14.92;1.79
ASII;01/04/2019;56575;5636;132065;218223;173336;176952;40;0.67;1.22;113.33;2.42;7.64;3.57
ASII;01/07/2019;60862;7327;137741;220382;177293;180830;40;0.63;1.26;149.81;2.77;11.16;5.40
ASII;01/10/2019;60122;6993;129058;222900;165195;186763;40;0.62;1.29;144.23;2.64;8.88;7.40
ASII;01/01/2020;54002;5687;132176;234564;170836;195904;40;0.66;1.37;118.81;2.19;9.45;1.63
ASII;01/04/2020;35793;7450;134392;209282;152017;191657;40;0.57;1.49;162.24;0.79;11.63;2.81
ASII;01/07/2020;40554;3096;133476;207788;146239;195025;40;0.55;1.56;65.73;1.14;13.17;4.62
ASII;01/10/2020;44697;2338;132308;205895;142749;195454;40;0.51;1.54;52.49;0.85;11.78;6.96
ASII;01/01/2021;51700;4657;145629;206349;149644;202334;40;0.50;1.47;92.09;1.79;12.07;2.35
ASII;01/04/2021;55695;6486;148549;205924;150202;204271;40;0.48;1.51;126.05;2.52;10.24;4.87
ASII;01/07/2021;60007;7875;156627;205592;152663;209556;40;0.45;1.56;151.81;2.84;10.56;7.08
ASII;01/10/2021;66083;6568;160262;207049;151696;215615;40;0.42;1.54;128.92;2.76;14.03;8.84
ASII;01/01/2022;71871;9272;174332;208851;157855;225328;40;0.39;1.58;169.43;3.41;20.28;2.49
ASII;01/04/2022;71821;14645;175316;217207;160440;232083;40;0.38;1.54;279.50;4.13;20.33;4.52
ASII;01/07/2022;77662;8095;184628;227389;174153;237864;40;0.39;1.46;127.36;3.65;10.29;6.25
ASII;01/10/2022;80025;8408;179818;233479;169577;243720;40;0.37;1.51;138.67;3.93;10.51;7.54
ASII;01/01/2023;82980;11591;193756;239238;181402;251592;40;0.36;1.53;215.37;3.59;14.00;2.01
ASII;01/04/2023;79413;11840;172469;247221;186380;233310;40;0.42;1.31;215.64;4.02;14.82;3.87
ASII;01/07/2023;78520;10144;176738;266237;204006;238969;40;0.45;1.18;203.59;3.34;12.90;5.56
ASII;01/10/2023;75652;10926;166186;279493;195261;250418;40;0.47;1.33;201.27;3.86;15.47;6.55
ANTM;01/01/2008;2092;675;7593;4411;2562;9443;10;0.10;6.96;70.80;17.17;32.25;0.00
ANTM;01/04/2008;3478;790;8406;4432;4713;8125;10;0.10;2.51;82.78;10.30;22.71;1.93
ANTM;01/07/2008;2006;159;6495;4033;2241;8288;10;0.10;7.39;16.46;0.69;7.94;3.23
ANTM;01/10/2008;2015;256;5820;4426;2131;8114;10;0.11;8.10;-26.51;-3.56;12.70;4.73
ANTM;01/01/2009;2642;90;5883;4434;2118;8199;10;0.11;8.78;9.28;0.57;3.41;1.66
ANTM;01/04/2009;1764;134;5523;4371;2131;7762;10;0.09;6.01;13.56;1.55;7.60;2.81
ANTM;01/07/2009;1862;69;5176;4847;2140;7884;10;0.08;7.76;7.08;1.51;3.71;4.57
ANTM;01/10/2009;2444;312;5437;4503;1748;8192;10;0.06;7.27;32.49;2.70;12.77;6.34
ANTM;01/01/2010;1655;202;5532;4542;1722;8352;10;0.06;7.60;21.04;3.70;12.22;0.89
ANTM;01/04/2010;2660;554;6182;4430;1966;8646;10;0.04;5.45;58.11;7.92;20.83;2.34
ANTM;01/07/2010;1414;194;6068;4505;1725;8849;10;0.04;6.72;19.74;1.88;13.71;3.30
ANTM;01/10/2010;3015;733;7594;4717;2710;9601;10;0.08;3.82;76.71;6.78;24.34;4.49
ANTM;01/01/2011;1991;347;7748;4839;2653;9934;10;0.09;3.70;36.33;4.52;17.43;0.99
ANTM;01/04/2011;2897;677;6460;5898;2474;9884;10;0.03;3.36;70.97;7.69;23.36;2.17
ANTM;01/07/2011;2929;534;6092;5952;1637;10408;10;0.01;5.58;56.03;6.15;18.24;3.64
ANTM;01/10/2011;2529;370;9108;6093;4429;10772;10;0.28;10.64;38.78;0.63;14.63;4.71
ANTM;01/01/2012;2464;379;9205;6369;4424;11150;10;0.27;11.13;39.75;2.43;15.39;1.20
ANTM;01/04/2012;2028;97;8465;7144;5292;10318;10;0.29;4.86;10.15;0.35;4.78;2.22
ANTM;01/07/2012;2642;152;9203;7606;6337;10472;10;0.44;3.26;15.91;1.61;5.75;3.24
ANTM;01/10/2012;3316;2365;7647;12062;6876;12832;10;0.36;2.51;247.98;1.76;71.29;5.26
ANTM;01/01/2013;3339;462;7339;12628;6673;13295;10;0.35;2.61;48.48;2.53;13.84;1.64
ANTM;01/04/2013;2786;89;6915;13245;7403;12756;10;0.43;2.46;-9.32;-0.25;3.19;2.78
ANTM;01/07/2013;2682;26;7615;13631;8515;12732;10;0.52;2.23;-2.68;0.50;0.97;3.90
ANTM;01/10/2013;2491;62;7080;14785;9072;12793;10;0.53;1.84;6.49;-0.29;2.49;4.41
ANTM;01/01/2014;2303;273;6541;14915;9027;12429;10;0.57;1.66;-28.58;-0.54;11.86;1.02
ANTM;01/04/2014;1683;366;5987;14740;8665;12063;10;0.56;1.71;-38.38;-0.28;21.75;1.77
ANTM;01/07/2014;1826;75;7350;15362;10574;12137;10;0.69;1.60;7.84;0.14;4.11;2.48
ANTM;01/10/2014;3608;211;6343;15701;10115;11930;10;0.67;1.64;-22.16;-0.33;5.85;4.51
ANTM;01/01/2015;2867;240;6814;16029;11153;11690;10;0.77;1.72;-25.18;0.30;8.37;1.35
ANTM;01/04/2015;4982;156;6569;15981;10975;11575;10;0.78;1.67;-16.33;0.25;3.13;3.69
ANTM;01/07/2015;1195;642;6419;18367;11296;13490;10;0.71;1.62;-67.31;-1.54;53.73;4.65
ANTM;01/10/2015;1488;403;11253;19104;12040;18317;24;0.55;2.59;-16.76;-2.14;27.06;5.76
ANTM;01/01/2016;1982;5;10963;18886;11522;18327;24;0.54;2.60;0.22;-0.20;0.25;1.11
ANTM;01/04/2016;2181;6;10529;19161;11375;18315;24;0.55;2.70;0.24;-0.78;0.28;2.53
ANTM;01/07/2016;2283;27;10554;19111;11328;18338;24;0.54;2.69;1.13;0.22;1.18;3.74
ANTM;01/10/2016;2661;27;10630;19351;11573;18409;24;0.54;2.44;1.10;0.78;1.01;5.36
ANTM;01/01/2017;1651;7;10363;19936;11890;18410;24;0.53;2.19;0.28;-0.33;0.42;1.08
ANTM;01/04/2017;1360;503;9643;20605;12373;17874;24;0.54;1.76;-20.92;-0.58;37.01;1.65
ANTM;01/07/2017;3951;165;10464;20208;12642;18030;24;0.57;1.82;6.85;1.87;4.17;3.29
ANTM;01/10/2017;5692;468;9002;21012;11524;18490;24;0.51;1.62;19.47;1.49;8.23;7.31
ANTM;01/01/2018;5731;246;9975;21249;12496;18728;24;0.55;1.75;10.22;1.92;4.29;3.47
ANTM;01/04/2018;6084;99;9735;21602;12487;18850;24;0.55;1.71;4.11;2.19;1.63;5.72
ANTM;01/07/2018;8136;287;10916;21931;13704;19143;24;0.55;1.57;11.93;3.48;3.53;7.77
ANTM;01/10/2018;5290;243;8498;24808;13567;19739;24;0.50;1.54;10.12;-0.31;4.59;9.77
ANTM;01/01/2019;6219;172;8842;24757;13689;19910;24;0.52;1.51;7.14;1.10;2.77;2.41
ANTM;01/04/2019;8207;194;8952;24615;13796;19771;24;0.54;1.39;8.08;1.59;2.36;5.08
ANTM;01/07/2019;10111;195;8254;24401;12707;19948;24;0.49;1.45;8.13;1.83;1.93;8.12
ANTM;01/10/2019;8181;367;7665;22530;12061;18133;24;0.47;1.45;-15.29;-1.08;4.49;12.69
ANTM;01/01/2020;5203;282;7408;23363;12746;18025;24;0.51;1.32;-11.73;0.55;5.42;2.22
ANTM;01/04/2020;4024;367;7127;22906;11930;18104;24;0.46;1.60;15.26;1.24;9.14;3.33
ANTM;01/07/2020;8811;751;8531;22443;12045;18929;24;0.45;1.94;31.25;3.79;8.52;5.74
ANTM;01/10/2020;9335;314;9151;22579;12690;19039;24;0.41;1.21;13.05;2.33;3.36;8.29
ANTM;01/01/2021;9210;630;10077;22613;12891;19800;24;0.37;1.24;26.23;3.26;6.84;3.06
ANTM;01/04/2021;8065;530;9909;22381;12455;19835;24;0.36;1.26;22.06;2.99;6.57;5.53
ANTM;01/07/2021;9201;550;11090;22211;12957;20344;24;0.33;1.25;22.89;3.36;5.98;7.91
ANTM;01/10/2021;11969;151;11728;21188;12079;20837;24;0.29;1.79;6.30;1.54;1.26;11.14
ANTM;01/01/2022;9747;1465;10285;21257;9236;22305;24;0.18;2.09;60.98;6.11;15.06;2.44
ANTM;01/04/2022;9026;61;10954;21302;10785;21472;24;0.21;1.65;2.52;-0.59;0.67;4.66
ANTM;01/07/2022;14910;1101;12136;21655;11223;22567;24;0.19;1.68;45.81;4.90;7.38;7.43
ANTM;01/10/2022;12247;1194;11695;21942;9925;23712;24;0.13;1.96;49.69;4.43;9.75;10.93
ANTM;01/01/2023;11593;1663;12582;22351;9602;25332;24;0.11;2.07;69.21;6.76;14.35;2.82
ANTM;01/04/2023;10068;227;14312;22057;12693;23676;24;0.13;1.54;9.43;1.48;2.25;5.59
